Provincias;Existe o no separación previa;Periodo;Total
18 Granada;No;2016;1.811
18 Granada;No;2015;1.726
18 Granada;No;2014;1.698
18 Granada;No;2013;1.600
19 Guadalajara;Si;2019;30
19 Guadalajara;Si;2018;16
19 Guadalajara;Si;2017;16
19 Guadalajara;Si;2016;38
19 Guadalajara;Si;2015;27
19 Guadalajara;Si;2014;48
19 Guadalajara;Si;2013;44
19 Guadalajara;No;2019;839
19 Guadalajara;No;2018;721
19 Guadalajara;No;2017;480
19 Guadalajara;No;2016;500
19 Guadalajara;No;2015;548
19 Guadalajara;No;2014;452
19 Guadalajara;No;2013;359
21 Huelva;Si;2019;65
21 Huelva;Si;2018;49
21 Huelva;Si;2017;72
21 Huelva;Si;2016;59
21 Huelva;Si;2015;60
21 Huelva;Si;2014;85
21 Huelva;Si;2013;93
21 Huelva;No;2019;939
21 Huelva;No;2018;937
21 Huelva;No;2017;988
21 Huelva;No;2016;995
21 Huelva;No;2015;963
21 Huelva;No;2014;1.055
21 Huelva;No;2013;902
22 Huesca;Si;2019;25
22 Huesca;Si;2018;29
22 Huesca;Si;2017;32
22 Huesca;Si;2016;39
22 Huesca;Si;2015;39
22 Huesca;Si;2014;45
22 Huesca;Si;2013;40
22 Huesca;No;2019;345
22 Huesca;No;2018;366
22 Huesca;No;2017;346
22 Huesca;No;2016;323
22 Huesca;No;2015;443
22 Huesca;No;2014;395
22 Huesca;No;2013;349
23 Jaén;Si;2019;76
23 Jaén;Si;2018;130
23 Jaén;Si;2017;102
23 Jaén;Si;2016;99
23 Jaén;Si;2015;79
23 Jaén;Si;2014;104
23 Jaén;Si;2013;92
23 Jaén;No;2019;1.105
23 Jaén;No;2018;979
23 Jaén;No;2017;1.026
23 Jaén;No;2016;1.022
23 Jaén;No;2015;1.119
23 Jaén;No;2014;1.076
23 Jaén;No;2013;1.064
24 León;Si;2019;82
24 León;Si;2018;86
24 León;Si;2017;82
24 León;Si;2016;80
24 León;Si;2015;73
24 León;Si;2014;101
24 León;Si;2013;112
24 León;No;2019;794
24 León;No;2018;807
24 León;No;2017;747
24 León;No;2016;736
24 León;No;2015;696
24 León;No;2014;803
24 León;No;2013;768
25 Lleida;Si;2019;44
25 Lleida;Si;2018;34
25 Lleida;Si;2017;66
25 Lleida;Si;2016;67
25 Lleida;Si;2015;121
25 Lleida;Si;2014;151
25 Lleida;Si;2013;137
25 Lleida;No;2019;770
25 Lleida;No;2018;744
25 Lleida;No;2017;830
25 Lleida;No;2016;839
25 Lleida;No;2015;826
25 Lleida;No;2014;1.255
25 Lleida;No;2013;819
27 Lugo;Si;2019;31
27 Lugo;Si;2018;44
27 Lugo;Si;2017;35
27 Lugo;Si;2016;45
27 Lugo;Si;2015;45
27 Lugo;Si;2014;46
27 Lugo;Si;2013;52
27 Lugo;No;2019;459
27 Lugo;No;2018;381
27 Lugo;No;2017;472
27 Lugo;No;2016;450
27 Lugo;No;2015;528
27 Lugo;No;2014;511
27 Lugo;No;2013;379
28 Madrid;Si;2019;864
28 Madrid;Si;2018;1.084
28 Madrid;Si;2017;1.150
28 Madrid;Si;2016;1.176
28 Madrid;Si;2015;1.155
28 Madrid;Si;2014;1.232
28 Madrid;Si;2013;1.402
28 Madrid;No;2019;11.631
28 Madrid;No;2018;11.790
28 Madrid;No;2017;12.959
28 Madrid;No;2016;12.003
28 Madrid;No;2015;12.034
28 Madrid;No;2014;13.379
28 Madrid;No;2013;11.901
29 Málaga;Si;2019;288
29 Málaga;Si;2018;294
29 Málaga;Si;2017;260
29 Málaga;Si;2016;277
29 Málaga;Si;2015;297
29 Málaga;Si;2014;308
29 Málaga;Si;2013;442
29 Málaga;No;2019;3.507
29 Málaga;No;2018;3.424
29 Málaga;No;2017;3.392
29 Málaga;No;2016;3.381
29 Málaga;No;2015;3.263
29 Málaga;No;2014;3.260
29 Málaga;No;2013;3.139
30 Murcia;Si;2019;213
30 Murcia;Si;2018;244
30 Murcia;Si;2017;268
30 Murcia;Si;2016;227
30 Murcia;Si;2015;188
30 Murcia;Si;2014;260
30 Murcia;Si;2013;284
30 Murcia;No;2019;2.486
30 Murcia;No;2018;2.715
30 Murcia;No;2017;2.808
30 Murcia;No;2016;2.713
30 Murcia;No;2015;2.548
30 Murcia;No;2014;2.703
30 Murcia;No;2013;2.542
31 Navarra;Si;2019;85
31 Navarra;Si;2018;103
31 Navarra;Si;2017;72
31 Navarra;Si;2016;93
31 Navarra;Si;2015;96
31 Navarra;Si;2014;96
31 Navarra;Si;2013;124
31 Navarra;No;2019;1.047
31 Navarra;No;2018;1.118
31 Navarra;No;2017;1.278
31 Navarra;No;2016;1.064
31 Navarra;No;2015;1.023
31 Navarra;No;2014;1.171
31 Navarra;No;2013;930
32 Ourense;Si;2019;50
32 Ourense;Si;2018;31
32 Ourense;Si;2017;57
32 Ourense;Si;2016;77
32 Ourense;Si;2015;59
32 Ourense;Si;2014;71
32 Ourense;Si;2013;78
32 Ourense;No;2019;473
32 Ourense;No;2018;448
32 Ourense;No;2017;586
32 Ourense;No;2016;579
32 Ourense;No;2015;615
32 Ourense;No;2014;574
32 Ourense;No;2013;523
34 Palencia;Si;2019;31
34 Palencia;Si;2018;21
34 Palencia;Si;2017;35
34 Palencia;Si;2016;24
34 Palencia;Si;2015;27
34 Palencia;Si;2014;19
34 Palencia;Si;2013;22
34 Palencia;No;2019;240
34 Palencia;No;2018;210
34 Palencia;No;2017;207
34 Palencia;No;2016;218
34 Palencia;No;2015;229
34 Palencia;No;2014;234
34 Palencia;No;2013;222
35 Palmas, Las;Si;2019;199
35 Palmas, Las;Si;2018;235
35 Palmas, Las;Si;2017;235
35 Palmas, Las;Si;2016;260
35 Palmas, Las;Si;2015;269
35 Palmas, Las;Si;2014;340
35 Palmas, Las;Si;2013;469
35 Palmas, Las;No;2019;1.885
35 Palmas, Las;No;2018;2.323
35 Palmas, Las;No;2017;2.285
35 Palmas, Las;No;2016;2.160
35 Palmas, Las;No;2015;2.201
35 Palmas, Las;No;2014;2.331
35 Palmas, Las;No;2013;2.549
36 Pontevedra;Si;2019;92
36 Pontevedra;Si;2018;127
36 Pontevedra;Si;2017;107
36 Pontevedra;Si;2016;162
36 Pontevedra;Si;2015;190
36 Pontevedra;Si;2014;183
36 Pontevedra;Si;2013;243
36 Pontevedra;No;2019;1.548
36 Pontevedra;No;2018;1.680
36 Pontevedra;No;2017;1.826
36 Pontevedra;No;2016;1.698
36 Pontevedra;No;2015;1.731
36 Pontevedra;No;2014;1.871
36 Pontevedra;No;2013;1.697
26 Rioja, La;Si;2019;37
26 Rioja, La;Si;2018;39
26 Rioja, La;Si;2017;26
26 Rioja, La;Si;2016;47
26 Rioja, La;Si;2015;47
26 Rioja, La;Si;2014;68
26 Rioja, La;Si;2013;51
26 Rioja, La;No;2019;506
26 Rioja, La;No;2018;558
26 Rioja, La;No;2017;548
26 Rioja, La;No;2016;582
26 Rioja, La;No;2015;525
26 Rioja, La;No;2014;645
26 Rioja, La;No;2013;548
37 Salamanca;Si;2019;26
37 Salamanca;Si;2018;31
37 Salamanca;Si;2017;44
37 Salamanca;Si;2016;47
37 Salamanca;Si;2015;60
37 Salamanca;Si;2014;34
37 Salamanca;Si;2013;85
37 Salamanca;No;2019;430
37 Salamanca;No;2018;518
37 Salamanca;No;2017;509
37 Salamanca;No;2016;540
37 Salamanca;No;2015;570
37 Salamanca;No;2014;539
37 Salamanca;No;2013;499
38 Santa Cruz de Tenerife;Si;2019;187
38 Santa Cruz de Tenerife;Si;2018;203
38 Santa Cruz de Tenerife;Si;2017;232
38 Santa Cruz de Tenerife;Si;2016;213
38 Santa Cruz de Tenerife;Si;2015;210
38 Santa Cruz de Tenerife;Si;2014;283
38 Santa Cruz de Tenerife;Si;2013;336
38 Santa Cruz de Tenerife;No;2019;2.155
38 Santa Cruz de Tenerife;No;2018;2.198
38 Santa Cruz de Tenerife;No;2017;2.356
38 Santa Cruz de Tenerife;No;2016;2.342
38 Santa Cruz de Tenerife;No;2015;2.324
38 Santa Cruz de Tenerife;No;2014;2.430
38 Santa Cruz de Tenerife;No;2013;2.773
40 Segovia;Si;2019;18
40 Segovia;Si;2018;17
40 Segovia;Si;2017;20
40 Segovia;Si;2016;18
40 Segovia;Si;2015;29
40 Segovia;Si;2014;27
40 Segovia;Si;2013;21
40 Segovia;No;2019;227
40 Segovia;No;2018;223
40 Segovia;No;2017;183
40 Segovia;No;2016;207
40 Segovia;No;2015;178
40 Segovia;No;2014;204
40 Segovia;No;2013;177
41 Sevilla;Si;2019;265
41 Sevilla;Si;2018;294
41 Sevilla;Si;2017;287
41 Sevilla;Si;2016;293
41 Sevilla;Si;2015;360
41 Sevilla;Si;2014;368
41 Sevilla;Si;2013;464
41 Sevilla;No;2019;3.794
41 Sevilla;No;2018;3.792
41 Sevilla;No;2017;4.032
41 Sevilla;No;2016;3.731
41 Sevilla;No;2015;3.648
41 Sevilla;No;2014;3.759
41 Sevilla;No;2013;3.376
42 Soria;Si;2019;0
42 Soria;Si;2018;3
42 Soria;Si;2017;11
42 Soria;Si;2016;13
42 Soria;Si;2015;11
42 Soria;Si;2014;10
42 Soria;Si;2013;4
42 Soria;No;2019;91
42 Soria;No;2018;74
42 Soria;No;2017;83
42 Soria;No;2016;87
42 Soria;No;2015;80
42 Soria;No;2014;149
42 Soria;No;2013;116
43 Tarragona;Si;2019;82
43 Tarragona;Si;2018;121
43 Tarragona;Si;2017;153
43 Tarragona;Si;2016;128
43 Tarragona;Si;2015;161
43 Tarragona;Si;2014;128
43 Tarragona;Si;2013;201
43 Tarragona;No;2019;1.129
43 Tarragona;No;2018;1.644
43 Tarragona;No;2017;1.752
43 Tarragona;No;2016;1.853
43 Tarragona;No;2015;1.698
43 Tarragona;No;2014;1.816
43 Tarragona;No;2013;1.706
44 Teruel;Si;2019;10
44 Teruel;Si;2018;8
44 Teruel;Si;2017;7
44 Teruel;Si;2016;26
44 Teruel;Si;2015;13
44 Teruel;Si;2014;20
44 Teruel;Si;2013;12
44 Teruel;No;2019;180
44 Teruel;No;2018;167
44 Teruel;No;2017;157
44 Teruel;No;2016;197
44 Teruel;No;2015;219
44 Teruel;No;2014;184
44 Teruel;No;2013;160
45 Toledo;Si;2019;32
45 Toledo;Si;2018;108
45 Toledo;Si;2017;76
45 Toledo;Si;2016;88
45 Toledo;Si;2015;87
45 Toledo;Si;2014;93
45 Toledo;Si;2013;103
45 Toledo;No;2019;1.229
45 Toledo;No;2018;1.227
45 Toledo;No;2017;1.277
45 Toledo;No;2016;1.181
45 Toledo;No;2015;1.187
45 Toledo;No;2014;1.063
45 Toledo;No;2013;949
46 Valencia/València;Si;2019;438
46 Valencia/València;Si;2018;497
46 Valencia/València;Si;2017;513
46 Valencia/València;Si;2016;507
46 Valencia/València;Si;2015;592
46 Valencia/València;Si;2014;652
46 Valencia/València;Si;2013;770
46 Valencia/València;No;2019;5.468
